project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
6315,22.278084170973703,114.17187346805454,Wan Chai,1518,Entire home/apt,6,2,2,0,4,1.03,5,1,343,14,1,554.4156309608985,0,0,133,16,51,288,339,4027.99997792728,248.29639515205352,318.99612879740704,708.8589053882333
6316,22.2805329,114.1521128,Central & Western,2466,Entire home/apt,3,2,2,0,0,0,0,30,9,22,1,1116.7678023513397,0,0,42,1,35,309,344,3282.112185238456,128.28789984796018,113.4580248668972,337.00038409408563
6317,22.279356,114.1517446,Central & Western,2068,Entire home/apt,3,2,2,0,0,0,0,30,0,20,1,1154.561305950789,0,0,33,0,22,222,244,3205.0577801792083,107.51307721193947,174.07786073803356,407.723131792448
6318,22.284444,114.1492432,Central & Western,1987,Entire home/apt,2,2,2,0,0,0,0,30,0,19,1,689.0327040780053,0,0,91,0,38,211,249,3186.9863600656818,101.37693962657784,243.291268196388,370.2345267585337
6319,22.305747370538526,114.17200360447168,Yau Tsim Mong,450,Private room,2,1,2,0,0,0,0,5,352,8,1,581.2708370181102,0,0,93,9,50,164,214,3097.1084473622286,412.199216508314,544.8511298678625,234.8537384258281
6320,22.31049,114.22184,Kwun Tong,395,Entire home/apt,5,2,1,0,0,0,0,7,50,7,1,2918.775298940973,0,0,81,2,19,45,64,1800.453207494424,161.8741861941101,462.43407508973934,3099.2366025235847
6321,22.31056632531184,114.22329099237572,Kwun Tong,423,Entire home/apt,6,1,1,0,4,0.85,4.75,5,105,14,1,2959.7454317040106,0,0,95,0,19,50,69,1711.652322396416,184.0420725659109,388.84551047576576,3245.8287866012897
6322,22.310765397313894,114.22335064630332,Kwun Tong,403,Entire home/apt,4,1,1,0,4,0.85,5,3,295,9,1,2982.622231152685,0,0,99,0,20,51,71,1725.4601750003512,170.87429608527393,403.7704024424334,3248.821337485699
6323,22.28534371006688,114.15304999099556,Central & Western,457,Entire home/apt,1,1,1,0,0,0,0,28,365,2,1,1072.5947775167479,0,0,142,3,51,331,382,3580.7054271711927,155.64883521208063,18.1395990014976,99.70848631332883
6324,22.30579482217705,114.17088679969312,Yau Tsim Mong,218,Entire home/apt,1,1,1,0,3,0.65,4.33,15,250,5,1,474.1234883054714,1,0,104,7,56,180,236,2999.3121967987986,301.45567252670685,516.0457960485874,122.26676394088382
6325,22.277796993385248,114.17808862118588,Wan Chai,380,Private room,2,1,1,0,3,0.67,5,1,267,28,1,489.60196912747074,1,0,146,9,50,242,292,3790.230411076012,151.95845246471484,307.73109753737225,742.4553602858186
6326,22.279857973762443,114.17836621962807,Wan Chai,247,Private room,1,1,1,0,11,2.44,4.64,1,272,28,1,337.4523415116345,1,0,134,2,47,242,289,4004.944633423842,272.02593789630816,179.52955967633395,522.2031484170645
6327,22.28040375603183,114.17958307525892,Wan Chai,463,Private room,2,1,1,0,3,0.82,5,1,160,27,1,423.02215094092736,1,0,151,2,54,261,315,4037.276400414925,143.0357057928926,168.37738996611802,419.5838854153316
6328,22.27797,114.1798,Wan Chai,485,Private room,2,1,1,0,1,0.58,5,1,263,27,1,584.985796888228,0,0,142,3,55,272,327,3768.768783977576,38.20681834629093,412.3388129616662,679.5984230420288
6329,22.30579482217705,114.17088679969312,Yau Tsim Mong,238,Entire home/apt,1,1,1,0,1,0.23,3,15,264,6,1,474.1234883054714,1,0,104,7,56,180,236,2999.3121967987986,301.45567252670685,516.0457960485874,122.26676394088382
6330,22.30579482217705,114.17088679969312,Yau Tsim Mong,388,Entire home/apt,1,1,1,0,0,0,0,30,270,6,1,474.1234883054714,1,0,104,7,56,180,236,2999.3121967987986,301.45567252670685,516.0457960485874,122.26676394088382
6331,22.30579482217705,114.17088679969312,Yau Tsim Mong,388,Entire home/apt,1,1,1,0,0,0,0,30,270,7,1,474.1234883054714,1,0,104,7,56,180,236,2999.3121967987986,301.45567252670685,516.0457960485874,122.26676394088382
6332,22.29962,114.17574,Yau Tsim Mong,464,Private room,1,1,1,0,1,0.52,4,1,207,29,1,454.70955763376656,1,0,77,5,50,284,334,3811.30417873101,356.3661289720164,80.86474656095761,650.872167816738
6333,22.28632298990486,114.1414002796742,Central & Western,362,Private room,2,1,1,0,0,0,0,90,364,8,1,161.43388001563477,1,0,60,3,34,94,128,2477.8713402114163,168.04256883689064,498.209675388962,998.2410962487412
6334,22.288416358458832,114.14360218123907,Central & Western,416,Private room,2,1,1,0,0,0,0,90,364,8,1,344.66829604386413,1,0,55,2,23,69,92,2760.840217128764,121.78748606849528,303.7181116453822,945.8076602202178
6335,22.27889,114.17823,Wan Chai,1849,Entire home/apt,5,4,4,0,3,0.79,5,1,177,16,1,399.3524906186431,1,0,166,11,49,248,297,3904.027377411212,205.6773891860322,246.02795455945383,625.0165661673111
6336,22.27667,114.17848,Wan Chai,1849,Entire home/apt,6,4,4,0,1,0.24,5,1,207,15,1,618.3296687971716,0,0,126,0,42,224,266,3659.320735412424,165.39555443530892,267.20617527664035,848.3792720104232
